date,is_open,tdid,did
20201011,0,15029,107590
20201012,1,15030,107591
20201013,1,15031,107592
20201014,1,15032,107593
20201015,1,15033,107594
20201016,1,15034,107595
20201017,0,15034,107596
20201018,0,15034,107597
20201019,1,15035,107598
20201020,1,15036,107599
20201021,1,15037,107600
20201022,1,15038,107601
20201023,1,15039,107602
20201024,0,15039,107603
20201025,0,15039,107604
20201026,1,15040,107605
20201027,1,15041,107606
20201028,1,15042,107607
20201029,1,15043,107608
20201030,1,15044,107609
20201031,0,15044,107610
20201101,0,15044,107611
20201102,1,15045,107612
20201103,1,15046,107613
20201104,1,15047,107614
20201105,1,15048,107615
20201106,1,15049,107616
20201107,0,15049,107617
20201108,0,15049,107618
20201109,1,15050,107619
20201110,1,15051,107620
20201111,1,15052,107621
20201112,1,15053,107622
20201113,1,15054,107623
20201114,0,15054,107624
20201115,0,15054,107625
20201116,1,15055,107626
20201117,1,15056,107627
20201118,1,15057,107628
20201119,1,15058,107629
20201120,1,15059,107630
20201121,0,15059,107631
